balavataro
document,section,page,markup,text
Bālāvatāro,0,1,break,
Bālāvatāro,0,1,text,Namo tassa bhagavato arahato
Bālāvatāro,0,1,text,Sammā sambuddhassa.
Bālāvatāro,0,1,break,
Bālāvatāro,0,1,ignore,---------
Bālāvatāro,0,1,h1,Bālāvatāro.
Bālāvatāro,0,1,break,
Bālāvatāro,0,1,ignore,---------
Bālāvatāro,0,1,text,"Buddhaṃ tiṭhāhīvanditvā buddhambujavilocanaṃ,"
Bālāvatāro,0,1,break,
Bālāvatāro,0,1,text,Bālāvatāraṃ bhāsissaṃ bālānaṃ buddhivuddhiyā.
Bālāvatāro,0,1,break,
Bālāvatāro,1 Saññā,1,text,Akkharāpādayo ekacattāḷīsaṃ.[^1]
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Akkharāpi akāradayo ekacattāḷīsaṃ suttantopakārā.
Bālāvatāro,1 Saññā,1,text,Taṃ yathā - a ā i ī u ū e o ka kha ga gha ṅa ca cha ja jha ña ṭa ṭha ḍa ḍha ṇa ta tha da dha
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,na pa pha ba bha ma ya ra la va sa ha ḷa aṃ iti.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Tatthodantā sarā aṭṭha.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Tattha akkharesu okārantā aṭṭha sarā nāma.
Bālāvatāro,1 Saññā,1,text,Tattheti vattate.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Lahumattā tayo rassā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Tattha saresu lahumattā a i u iti tayo rassā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Aññe dīghā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,"Tattha saresu rassehaññe dighā, saṃyogato pubbe e o rassā ivoccante kvavi; anantarā"
Bālāvatāro,1 Saññā,1,text,byañjanā saṃyogo...Ettha seyyo oḍho sotthi.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Sesā byañjananā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Sare ṭhapetvā sesā kādayo nigagahītatatā byañjanā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,text,Vaggā pañcapañcaso mantā.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,1,footnote,[^1]:  Ekacatta līsamiccapi pāṭho.
Bālāvatāro,1 Saññā,1,break,
Bālāvatāro,1 Saññā,2,break,
